user,bookNFT,outstanding_raw,outstanding_like,inflated
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0x51D9A55CeeA0fc14BD8DbA60af5284F0e17fC936,14971559604131351,14971559604.131351,true
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0x3ed61aeeC1DA28A93eE9963f2D21FdD802CBc063,14843867218163471,14843867218.163471,true
0x24cD9d885Fe462354E74BdC5361E0886441875DC,0x21E66DBd47d6376242956DaA7348682EBAd79D3B,14537673075507594,14537673075.507594,true
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0x9cA7f7FAF79544FEEF185b50749D3f814E3748ce,13052850558987847,13052850558.987847,true
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0xd9Cd6de785C3b8F1939a8DD509019177B7D41a0E,12161043578516777,12161043578.516777,true
0x895383ad6b172E00DB94c29d5a5C60D61dc5BB2d,0x8EcBaA55E85429D968129207fad35f0d049424CA,11195385549116499,11195385549.116499,true
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0xdDBa03e8e8459d4afD9ac6eA226209b7E56d5AF1,9010352848473815,9010352848.473815,true
0xFF3cbb33c42049ba23C313f05F2907285Ef9086f,0x78b29A83c1Ef7a7ef0faA0eC11Cb3809E5B78402,7698468369846759,7698468369.846759,true
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0x6f7D621827d817B80C07a644a0A75579444BE530,7335657775531606,7335657775.531606,true
0x8EB12Be95E325376721Dd6dDeA39306171fAc71d,0x2fa5F63792Ea0f3501C842417eF8E61F41c5E60f,7236026274035630,7236026274.03563,true
0xea13e2a6c52CE61c506247267D15d3bbA7CABA53,0x7d05a166589a26A892BE616579a05432a2401314,7001643647968258,7001643647.968258,true
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0x6d4f3EB092a8312a52104B8786Cf5D6305261D07,6821234955166070,6821234955.16607,true
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0x5668ae4acDdE1E4143ae8229AF951CEa386a94c9,6704176387915267,6704176387.915267,true
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0xB790e3B54f17eBC1534F5096438b227AEc613C4e,6416217437738432,6416217437.738432,true
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0x34091a775D8aC20C402f352BAEBa2CD7E268856d,6267011453067647,6267011453.067647,true
0x3B5a2B705f21398c0329581570618082a7D4c12c,0x22263b9c327817dF2B11d64dfeC2b4A754fE4457,6237130139541492,6237130139.541492,true
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0x21E66DBd47d6376242956DaA7348682EBAd79D3B,4361301919452814,4361301919.452814,true
