owner,bookNFT,tokenId,stakedAmount,claimable_raw,owed_raw,owed_like
0x7fF3c36212F5B10846B7A2569b7b8a822a900050,0xa750Ef555fC0368987974b34e058200a81BEd78d,236,1000000000,19166828771000000000,0,0.0
0x64ee2f93e3f18a46E4c6A7Aca6C2Eb9edb8c0cA0,0xa750Ef555fC0368987974b34e058200a81BEd78d,239,1000000000,19166828771213738289,0,0.0
0x4Ac887471A53186Fc07877b9aB7ac1c639fEe9E6,0xa750Ef555fC0368987974b34e058200a81BEd78d,279,101118225,1938115704212109591,0,0.0
0xdaBD93cEcd32b0474D0f798be56ac0888B9edC6B,0xa750Ef555fC0368987974b34e058200a81BEd78d,532,100000000,1916682877109551310,0,0.0
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0xa750Ef555fC0368987974b34e058200a81BEd78d,788,3000000,57500486313000000,0,0.0
0x662A79fBc9ae681d7cD19A7275Aa8b3187CcA622,0xa750Ef555fC0368987974b34e058200a81BEd78d,967,10000000000,191668287710400284189,0,0.0
0x66AD8D3E0db87Ae882C1788e2cda9e31cDB4F013,0xa750Ef555fC0368987974b34e058200a81BEd78d,1262,2000000000,38333657542000000000,0,0.0
0x78eDDc163275E9e254557313CaD83D88e680c99f,0xa750Ef555fC0368987974b34e058200a81BEd78d,1524,2,0,0,0.0
0x13d6f5A180A8ff82E2e74847D9bc91b537b03A2E,0xDd624795D4670f029CcFB90926d2aFfDf084C3aB,22,2292557239,0,2,0.000002
0x8F176D80F72eA56Fbf61b5E56b84414689EA26bA,0xDd624795D4670f029CcFB90926d2aFfDf084C3aB,27,700000000,0,0,0.0
0x7D08f52539A8Fa695b474513437B1Ee8Bf5112d7,0xDd624795D4670f029CcFB90926d2aFfDf084C3aB,78,100000000,0,0,0.0
0x7fF3c36212F5B10846B7A2569b7b8a822a900050,0xDd624795D4670f029CcFB90926d2aFfDf084C3aB,81,1000000000,0,0,0.0
0x5B357b6DFBc10151dd4775c70b5355a7C8498f29,0xDd624795D4670f029CcFB90926d2aFfDf084C3aB,256,1200000000,0,0,0.0
